id,followers,username,own_time,last_time,Hop,Non_follower
27133902,1039296,6lack,0,667808,-1,0
1141332959305314305,2,officiial_anas,656807,656807,1,0
1616408764596322304,1,SebazMoon,651506,651506,1,0
138553155,707,lifeetbc,587484,591160,1,0
912664927,1186,MCMXCVI_A,569670,569670,1,0
1270246300102123521,499,SathulaBongani,550805,550805,0,1
1504146425864765442,37,YoungDr37448565,496319,496319,1,0
833736721,198,SurafaleA,494941,667808,2,0
421582380,307,JesusWuzzAJew,486821,486821,1,0
1254469954692435976,1146,ExtremelyKole,486287,667808,1,0
1312434349560692738,42,slaw803,422893,422893,1,0
816156441912315905,383,Rlph_XX,418844,418844,1,0
1306618145759735811,1073,KCYON3,407510,667808,2,0
1041024289334616064,33,pninasasson,389702,389702,1,0
1415905283583393795,1,idkgod18,383120,383120,1,0
710934762458845185,39,QuovadisW,381503,381503,1,0
1248592962252148742,219,tiaalh_,337925,406353,1,0
350016249,178,jbarrett195,486615,486615,1,0
1486172533,146,missashleh,315446,315446,1,0
2253197456,1437,admirethegirl,308027,308027,1,0
86613430,254,_LaLucky,304603,304603,1,0
1234963754464485376,101,2hard2kiII,300926,300926,1,0
3395804534,90,goodhumanstan,277656,277656,1,0
794567376989601792,288,rajenn714,252744,252744,1,0
1616257112,356,imdrizzy_ng,230265,667808,1,0
3302068367,312,Justmonaja,223721,223721,1,0
21603140,1011,robjhump,217087,217087,2,0
2169749384,72,moeluvlyj_long,198241,198241,1,0
1074569904702062593,23,DonnyFebles,184894,184894,0,1
1299338976344539138,15,sabrina_muhree,163156,163156,1,0
1460763980,73,zizzofalolu_17,148110,148110,1,0
1477358778773352453,205,jordaniiaa_,144762,144762,1,0
155971700,1366,Skeezy89,136434,667808,2,0
1328308881827782659,355,vvsgideon1,134636,667808,0,1
1243891093210640384,191,andrew_3stacks,130672,130672,0,1
158433221,2145,mcknz02,125512,667808,3,0
1270224446662627335,35,Justpatrick12,124970,124970,1,0
1626382249691172864,24,jeantopaz3,122022,122022,0,1
1457478433034932232,150,oloyedey4u0,120287,120287,0,1
142888110,102,MesWilliams,119549,119549,2,0
1377371360,7,SteedSimon,116761,116761,1,0
3123628639,907,AgwomJoshua,116043,667808,2,0
1338447866788974592,229,kamo05121,114190,114190,2,0
1209308920935792640,122,WisdomOchei,113380,113380,1,0
797045770692083712,150,bavii94,108947,108947,1,0
820561930289053696,1419,arnold_notes1,108882,667808,1,0
1582070715255328769,491,capitalgains_zw,102440,102440,1,0
1534106416373452802,1970,4StarboyymiEezy,97868,667808,2,0
2471763136,1183,Booitii,96959,667808,3,0
3780297193,94,SevyPay100,95798,95798,1,0
1329058571267547138,15,OhhyeahhJordan,85916,85916,1,0
132429304,38,PRPLNNJATRTL,85547,85547,1,0
1329143401615400965,43,MicahRo53546999,79127,79127,1,0
803185814314319872,191,dece_tutt,78887,78887,1,0
868517310788763650,67,drop_that_joint,78856,78856,1,0
1124797244698505217,568,slowlytxx,78238,78308,1,0
1147970821383696389,64,goldengodnora,75486,75486,2,0
1225898068320702465,353,overratedFrank,74766,667808,3,0
1157314060192538624,2,ID3NT1TY19,73218,73218,2,0
1318654757796458497,153,xamitexmusic,68520,68520,0,1
1116004095456894979,693,switcherooooo,66702,667808,2,0
842741072610574336,4233,splendor_obasi,66696,667808,2,0
1612373697976832000,131,e_o_b__99,66478,66478,2,0
1024039185324367873,93,MlohDj,65528,65528,1,0
1167540548284104704,522,real_favoryt,63659,667808,2,0
1229905363350192130,174,Jamie_ose,63572,667808,3,0
1386619871811686403,15,David61271273,62445,62445,0,1
1621805313287458817,2,LILDOPEXT,62161,62161,0,1
1414597496274395143,1067,MJayLeso,61873,667808,2,0
1183317920090382336,383,_grim_umar,61485,667808,2,0
1470213320217145345,379,kaiokev,61402,61402,1,0
801957679,6611,Chukky_Alozie,61370,667808,2,0
1512810092428771330,7,BoitumelloNA96,60591,60591,1,0
1496638055540744198,99,SIRTWAK_,59802,59802,0,1
1665399054,301,AzBold08,58509,667808,1,0
345544880,7340,kylaaaa__,57840,667808,2,0
1169994864332853248,2134,oluwatobi_x,57638,667808,2,0
43014530,1097,LisoIsCold,56752,56752,1,0
1157511763,56,barbiecaruso31,56540,56540,1,0
527726187,275,TheKolorBlue,56482,667808,2,0
855493100,1550,Hadassxh,55512,667808,2,0
753980126,245,Nsuami_Boursier,55035,55035,3,0
804309374,2177,thisfreedreamer,54979,54979,1,0
1627987259298545665,1,sanjuanita_f,54581,54581,0,1
435011866,3496,Theleaguesmusic,53821,667808,1,0
1266054363031711744,5493,TysonMthembu_,53228,667808,1,0
1589497809488822272,440,ThandiMkhize9,51686,51686,0,1
1612807927768797189,0,zeing_aer,51439,51439,1,0
1387725168202637314,18,Tommywenceslaus,51206,51206,1,0
441666623,3269,sami_incredible,51133,667808,2,0
1619412995402080257,121,shalala_simonda,51077,154273,1,0
1480204800,8761,gifkeyboard,49608,116445,0,1
2927982057,3667,Oshorenoya_,47973,667808,1,0
999313375350976513,371,_Summerhuz,47872,667808,2,0
521011911,48,bragabrunoo97,47554,47554,2,0
831754839071784960,132,OzukumAyang,47085,47085,0,1
4088715447,1515,deejjerry,46812,667808,1,0
1194046882827378695,89,1Luv1King,46412,46412,1,0
1211874157878603776,6,mariellehabibti,45746,45746,1,0
1099380107188277259,22,trey_figueroa,44868,44868,1,0
932641792578727936,197,luuciti_,44582,44582,2,0
4817218460,246,blerd87,44561,223423,1,0
1638744933162192896,67,jadiep00hh,44416,667808,3,0
103426592,1378,URBANTHAMAN,43400,667808,2,0
1517075267365314561,420,blairhxxy414,45910,667808,3,0
946716372,607,mselenaz,43334,131038,1,0
1324617874309287936,2335,BobyRae_,58490,667808,2,0
