id,time,type
19739126,0,tweet
899032910,593764,reply
617804879,590370,reply
938717942,582171,reply
1013200133268402181,580022,reply
723235609792380928,577196,reply
16568041,566615,reply
3462419953,563515,reply
1109858219722190848,561739,reply
2564306545,561110,reply
821870225112993792,560873,reply
834600474,559563,reply
517692984,559056,reply
29919827,558633,reply
1311900666382745600,556916,reply
1059226663,547336,reply
1443914370937987114,525948,reply
1416256096663187458,521221,reply
1617624196820963328,520827,reply
1351562211425189888,513941,reply
1351562211425189888_1,512271,reply
1158903371241099264,509193,reply
1143249893340979201,506727,reply
1540531114837680129,465527,reply
191458890,464591,reply
1598848209752915969,458860,reply
36361387,450689,reply
874741285579632640,446002,reply
1503089057257172993,444655,reply
1471534126410788864,438994,reply
2316375672,433207,reply
1586031313622122496,426532,reply
4571923935,420860,reply
1503472442592964613,420781,reply
1446070711899107330,419933,reply
88724363,419235,reply
1602288497804582912,415755,reply
40434207,413692,reply
1518983465219227648,398747,reply
1590904165965832192,397228,reply
1413918628286713858,393295,reply
1541902238121164800,392003,reply
1541902238121164800_1,391813,reply
938199038008098817,390158,reply
175276905,388304,reply
825546410439225344,385116,reply
264343007,383556,reply
264343007_1,383471,reply
264343007_2,383032,reply
264343007_3,382908,reply
264343007_4,382851,reply
264343007_5,382749,reply
264343007_6,382644,reply
264343007_7,382620,reply
264343007_8,382592,reply
264343007_9,382482,reply
1618416524246585344,377409,reply
2512651145,376397,reply
1563124058707079168,376296,reply
428480497,374593,reply
823687503056142338,373970,reply
1572678188547059712,371671,reply
1050542987078500353,371104,reply
296485690,368270,reply
1622701447488888832,365562,reply
1096116908238295040,364994,reply
825902245896081408,364097,reply
1006693802,359466,reply
846127897706446848,357923,reply
858816529,356731,reply
1489264220046721025,355299,reply
395697608,354516,reply
913860310255116288,354055,reply
1620615643929231372,352717,reply
1518673474251894786,350259,reply
150314000,349582,reply
32496199,349155,reply
1431683090598957061,348536,reply
23656226,347756,reply
1104494213629009920,344363,reply
1949570936,343687,reply
107288264,343175,reply
723518348,342653,reply
4884395871,342445,reply
546590211,341728,reply
785961117801603072,341099,reply
760631399175028737,340126,reply
335739685,339669,reply
335739685_1,339446,reply
966143731480104965,336976,reply
965244482508742657,336150,reply
1402255504563445767,327545,reply
869880912523251712,327125,reply
437759301,323530,reply
437759301_1,323253,reply
1548587634452074496,314424,reply
3273862824,311380,reply
1056595824027721733,307413,reply
3019544512,307287,reply
266811389,306210,reply
1526402211567132672,306050,reply
1233459807606263809,300733,reply
1492195596400222216,300597,reply
17125261,299910,reply
872057583032573954,299677,reply
2691273894,299174,reply
2992637881,298716,reply
1103065469832056833,297597,reply
32279102,296962,reply
1416929048,295427,reply
1604692842542145537,295165,reply
750029464243884032,294298,reply
806898421122600960,293897,reply
579782524,292854,reply
1501683692686749706,292693,reply
23656226_1,292573,reply
1036054118526115840,290696,reply
1488169024034770945,289177,reply
536789660,287772,reply
1482902767018541056,285972,reply
619532888,285748,reply
107314373,285393,reply
21918138,284948,reply
1629610570159718403,284265,reply
1629610570159718403_1,284118,reply
1629610570159718403_2,283900,reply
1629610570159718403_3,283766,reply
1629610570159718403_4,283653,reply
904583644597153793,281510,reply
788495814301593600,281121,reply
1010591208211611649,280834,reply
1538710797643399170,280441,reply
160940319,280250,reply
153784300,277990,reply
81252170,277662,reply
81252170_1,277507,reply
1535791669760897025,277353,reply
1272568201663197185,277160,reply
1072292322501636097,276994,reply
83014190,276762,reply
2538413311,276017,reply
1373798552,273117,reply
4492124954,271936,reply
1258552386,271467,reply
1615495342652268544,270720,reply
1445178720482836485,269912,reply
2930181397,269706,reply
1037496772422189061,269510,reply
470602662,267484,reply
4904613572,266871,reply
2622761,266434,reply
1600526135154163713,263030,reply
1587951662441775104,262464,reply
1496644959415406595,261884,reply
1307537710706384896,259717,reply
16881785,259072,reply
1195916766,258366,reply
30290910,258363,reply
30290910_1,258287,reply
797385266,256555,reply
1215695176850522113,255329,reply
863776142381240320,254368,reply
2591805737,253260,reply
2796740709,251902,reply
42242808,250694,reply
788125329109975041,250639,reply
1307995539510886400,249150,reply
1094347547563438080,246960,reply
1087994858004975616,246331,reply
293284143,245880,reply
1518934246416687106,245587,reply
1599008590727192576,244839,reply
862303055076880389,243811,reply
1609696908468961281,243200,reply
334305193,242822,reply
150308253,242650,reply
1512418296695558144,241879,reply
435016553,240835,reply
1560427761189126144,238291,reply
2518613743,237087,reply
1572510395922792449,235134,reply
1722009606,234182,reply
1722009606_1,234160,reply
1598230950202077184,228461,reply
1627238554983182337,227393,reply
1527578547614670849,225613,reply
831044367326408705,224802,reply
831044367326408705_1,224651,reply
409943112,224083,reply
1428105744226914305,223898,reply
2331498373,223634,reply
743195317848334336,221980,reply
45819119,221439,reply
1371645861160230913,219648,reply
1371645861160230913_1,219538,reply
1581742283950538754,219094,reply
286949921,218638,reply
25641459,218228,reply
405824789,218064,reply
1529541225983922176,217735,reply
1576418038081101824,217412,reply
831044367326408705_2,215349,reply
830589223598174209,214106,reply
3165872977,213814,reply
15024873,212928,reply
1587287843394637824,212511,reply
1132047554923900928,212278,reply
1557545346355658761,210138,reply
805973096,209763,reply
41968624,209674,reply
1491351547783139330,208761,reply
1479501145190010880,208686,reply
1535093338839425050,208532,reply
1154454560796266497,207266,reply
1517862848017354752,207055,reply
838856881,206747,reply
2998892936,206306,reply
1397245687704653826,205599,reply
1397245687704653826_1,205587,reply
1527025111630372864,205397,reply
705930749296447488,205364,reply
16505883,204682,reply
3225537339,203910,reply
33815108,203056,reply
70075774,202971,reply
1622843075054936064,202050,reply
1455993243959713801,200562,reply
2894129590,199806,reply
734451042667102208,199060,reply
290130336,197755,reply
1637915413332803584,197258,reply
1601042485303812096,196616,reply
307342991,196341,reply
1632084444147269633,196211,reply
1536337745215463425,195856,reply
277159455,195544,reply
25230584,195226,reply
1164586419387547648,195145,reply
1519042508017180672,194990,reply
1583221122908229632,194640,reply
1631963544903356417,194144,reply
67098257,194030,reply
69687785,192452,reply
920759907309285376,191963,reply
360477447,191677,reply
375877652,191448,reply
514665430,191212,reply
1588341923236007936,190872,reply
822243636712800258,189600,reply
22915450,189252,reply
1560005141381521410,189177,reply
1433132212694704129,188562,reply
517797008,188239,reply
3377960626,188185,reply
917818909029527552,188127,reply
839139219222077440,188041,reply
1447154638982090752,187880,reply
2389518362,187873,reply
839139219222077440_1,187752,reply
21835389,187716,reply
21835389_1,187651,reply
1605629955811184641,187606,reply
21835389_2,187593,reply
1605629955811184641_1,187490,reply
1040610307427594240,187324,reply
53177057,186935,reply
387975809,186753,reply
1155961670310608896,186481,reply
1599974129947525120,186406,reply
1377174841602699265,185731,reply
742433868410560512,184826,reply
1597275074163187713,184649,reply
1628053051012513793,184536,reply
1586205977992302592,184330,reply
708244643125829633,184324,reply
48380760,184311,reply
15570694,183331,reply
9585422,182520,reply
24196142,181955,reply
409749395,181943,reply
1284179355388829697,181906,reply
447436961,181643,reply
955246559544963072,181533,reply
234542618,180681,reply
34175460,180638,reply
1570092206920286209,180529,reply
1599605037033988096,180146,reply
921846167725625344,180040,reply
1377430772752207875,179794,reply
1501600315346407436,179369,reply
33010555,178973,reply
1617481755392462849,178935,reply
1545058589651267585,178324,reply
1473074591094517760,178062,reply
204462683,177622,reply
1045508859278712833,177263,reply
1356799039094861829,177258,reply
797923194548224000,176320,reply
260326210,176227,reply
26225001,176212,reply
1613620274930323463,176120,reply
26784858,175801,reply
1495702107193851909,175208,reply
1112383443575267329,175172,reply
885782912280518657,175171,reply
1480532782170480642,175123,reply
1410039835272884224,175102,reply
42375388,175083,reply
1258552386_1,174915,reply
756455001279586304,174522,reply
1621664749640368133,174203,reply
1527707060628242432,173800,reply
1293300437731418119,172849,reply
1620518049685147651,172846,reply
2280559368,172798,reply
1599750211,172757,reply
615728528,172419,reply
1586511358862196736,172169,reply
1398334609247535105,172154,reply
1623453357493944321,171865,reply
3686400565,171528,reply
20829629,171420,reply
46911809,171363,reply
770105563325890561,171193,reply
1598749770725588995,171184,reply
770105563325890561_1,171179,reply
17257685,171155,reply
920755370666090497,170788,reply
1620566154761875456,170771,reply
278859014,170607,reply
3064179622,170110,reply
291523722,170101,reply
1555804732098195456,170048,reply
836373750585098240,169914,reply
28787710,169835,reply
770105563325890561_2,169832,reply
1470750973282947079,169756,reply
20533186,169702,reply
237480441,169555,reply
921511721470185472,169543,reply
770105563325890561_3,169513,reply
1360663424,169448,reply
2808427032,169345,reply
847953033405313024,169230,reply
1585782509350043651,169032,reply
1529299902,169019,reply
1505728883764699136,168897,reply
1147663232729014278,168883,reply
1519474553184915456,168854,reply
1281653115406647296,168766,reply
1281653115406647296_1,168714,reply
1540362037041238018,168591,reply
2990020513,168488,reply
558834348,168422,reply
1628806003,168323,reply
1125585239755988992,168279,reply
1591091786369224705,168213,reply
874040910782369792,167975,reply
42992597,167928,reply
1050690212039254017,167867,reply
1277294692502319105,167860,reply
1157334107329724417,167743,reply
2909471820,167633,reply
1196823730661609479,167568,reply
2914872503,167497,reply
347548840,167494,reply
12247852,167482,reply
32402915,167461,reply
801776541378048000,167394,reply
1604889223248678912,167049,reply
3666754767,167037,reply
1333842213168623620,166922,reply
824253089364512768,166919,reply
823780570035617793,166909,reply
2914872503_1,166739,reply
801458123567497217,166705,reply
1615691249511714818,166698,reply
17846426,166683,reply
1578263772,166433,reply
1036272858576642048,166411,reply
1442134532707143690,166294,reply
278853287,166271,reply
19051121,166262,reply
828012875142750210,166239,reply
22342004,166200,reply
1122618861629476864,166096,reply
1598782524494610432,166023,reply
1622818235161939968,165979,reply
1457884024702132224,165675,reply
2934541150,165623,reply
357913743,165450,reply
751643700,165421,reply
1616530887155351592,165403,reply
1620837286505058308,165368,reply
3284312940,165348,reply
23376251,165291,reply
34367702,165192,reply
1084477857487880193,165068,reply
34957232,165061,reply
1484237554887053321,165019,reply
