Target,Source
1000011951274123269,1543274074297737221
1000024888239779840,1543274074297737221
1000030768394104836,1543274074297737221
1000032133812051968,1543274074297737221
1000049994496274432,1543274074297737221
1000062409,1543274074297737221
1000091060067033088,1543274074297737221
1000108493708414976,1543274074297737221
1000113703851905025,1543274074297737221
1000162987406114817,543044567
1000245943562780672,1543274074297737221
1000368786082615296,1543274074297737221
1000378469090377728,1543274074297737221
1000514947942637568,1543274074297737221
1000807432128532482,1543274074297737221
1000965904769859586,1543274074297737221
1001144854708178950,1543274074297737221
1001157078805876737,1543274074297737221
1001266890877165568,1543274074297737221
1001271429273346049,733835653331320832
1001442366165667840,4798508479
1001442366165667840,756538035055976449
1001483526854754306,1543274074297737221
1001510922115059712,1205744922546053120
1001562224345919488,1543274074297737221
1001622080310345728,1543274074297737221
1001770180018491393,1543274074297737221
1001781890683228162,1543274074297737221
1002011670,2802925453
1002373829350625281,1543274074297737221
1002680281,1543274074297737221
1003073258,737904006
1003073258,597569765
1003172994074710017,1331054509821399042
1003172994074710017,1118325921122004992
1003260076533035010,3300385160
1003470656095174656,1543274074297737221
100386596,1543274074297737221
1003899552,1290055498788732928
1003899552,101791433
1003899552,1342288384551759875
1003899552,525921821
1004036153996075008,1543274074297737221
1004478717660450817,1543274074297737221
1004591711190781953,1543274074297737221
1004695912898289665,1520166741002838019
1004795767373094914,1336339431775678464
1004795767373094914,1475117521284083721
1004795767373094914,2721075285
1004812196088446976,1543274074297737221
1004919544832544769,1174120976969125888
1004919544832544769,1536004983883431936
1004919544832544769,1543274074297737221
1004919544832544769,1567735776149897216
1004991294358237184,576242448
1005069781328900096,957086439514177536
1005084498575294465,1543274074297737221
1005254597844365312,1543274074297737221
1005319562,1543274074297737221
1005515641,4633159212
1005515641,709511479
1005534054400262144,1543274074297737221
1005555079783436288,1376662764
1005783911002202112,1129149544137187329
1005783911002202112,1567735776149897216
1005783911002202112,1455711046841380873
1005783911002202112,1306597194561019910
1005783911002202112,966394228480925696
1005783911002202112,1577189965313761280
1005783911002202112,1506423107308900363
1005783911002202112,1006745276722372612
1005783911002202112,1383901675660869637
1005783911002202112,1543274074297737221
1006214112,1543274074297737221
1006215118009577473,938599190162296832
1006215118009577473,928433409046740992
1006511817844195328,1543274074297737221
1006515463369551872,1543274074297737221
1006626663743008768,1543274074297737221
1006678309206405120,1032424208398053377
1006742115630665728,1543274074297737221
1006745276722372612,1322360689210568706
1006745276722372612,1391417362855907328
1006745276722372612,1193233846818476032
1006745276722372612,1303731320825221120
1006745276722372612,716514186654646273
1006745276722372612,1339723277078556673
1006745276722372612,1256255225146609667
1006745276722372612,714549627287166976
1006745276722372612,1157622463661928448
1006745276722372612,1331336719812136960
1006745276722372612,3098431476
1006745276722372612,1543274074297737221
1006745276722372612,1005783911002202112
1006745276722372612,1573642700414484482
1006790728654229506,1543274074297737221
1006843652071493632,1543274074297737221
1006890210,1543274074297737221
1006912385360302080,1543274074297737221
1006920599812362240,1543274074297737221
1007133606228054016,508559787
1007133606228054016,565249655
1007133606228054016,1092444549090136064
1007133606228054016,734395711739940864
1007594391635050499,749164515426603012
1007922288,1543274074297737221
1007940529546547201,1543274074297737221
1008259183,1543274074297737221
1008335204275060739,1543274074297737221
1008367346044432386,1543274074297737221
1008526054066024448,1543274074297737221
1008619772,1543274074297737221
1008745859717222401,1543274074297737221
1008839083882266625,1543274074297737221
1008880410250620930,1543274074297737221
1008922555,145596146
1008961653302530048,1543274074297737221
1009048131386867712,1543274074297737221
1009050768970780672,3332488481
1009347391143591936,1543274074297737221
1009404383895797760,3144567768
