Source,Target,follower
1543274074297737221,1551629559195652096,1
1543274074297737221,1303390492202274816,1
1543274074297737221,1563073386762252288,1
1543274074297737221,1074054830434467842,1
1543274074297737221,1463155160071356416,1
1543274074297737221,1011796909709774850,1
1543274074297737221,1569509629905993728,1
1543274074297737221,459746246,1
1543274074297737221,2722776014,1
1543274074297737221,1592703393058983936,1
1543274074297737221,1184508107503915008,1
1543274074297737221,1472922105834459137,1
1543274074297737221,2955178516,1
1543274074297737221,1489752383391363073,1
1543274074297737221,2258155987,1
1543274074297737221,1306597194561019910,1
1543274074297737221,2227363923,1
1543274074297737221,1410399999742124032,1
1543274074297737221,1525486302019440642,1
1543274074297737221,983469058187300865,1
1543274074297737221,1536004983883431936,1
1543274074297737221,1148314197668892672,1
1543274074297737221,1039703340492484614,1
1543274074297737221,1588190953684303873,1
1543274074297737221,1470254915570188288,1
1543274074297737221,1546322331341144065,1
1543274074297737221,986361295690764288,1
1543274074297737221,1302463366959697921,1
1543274074297737221,1261446017880403968,1
1543274074297737221,1020372352222318593,1
1543274074297737221,1020372352222318593,1
1543274074297737221,1267672470481494017,1
1543274074297737221,754247993163939840,1
1543274074297737221,3098431476,1
1543274074297737221,1489768637061865472,1
1543274074297737221,1489768637061865472,1
1543274074297737221,1046762732354240513,1
1543274074297737221,1489768637061865472,1
1543274074297737221,1489768637061865472,1
1543274074297737221,1331140697349648384,1
1543274074297737221,1357341829268578304,1
1543274074297737221,1022944129494528006,1
1543274074297737221,916280045102092289,1
1543274074297737221,1292559700651843586,1
1543274074297737221,1612030079546322950,1
1543274074297737221,1034258427340443648,1
1543274074297737221,1421482116664156162,1
1543274074297737221,4133966008,1
1543274074297737221,2606149315,1
1543274074297737221,1226195797307535361,1
1543274074297737221,1561004555319525383,1
1543274074297737221,1300900272496144386,1
1543274074297737221,1090843991602393088,1
1543274074297737221,1519298128096104448,1
1543274074297737221,1613594907184070666,1
1543274074297737221,1367363754959245312,1
1543274074297737221,1546258041376473088,1
1543274074297737221,1166171919022022657,1
1543274074297737221,1123041104834834433,1
