id,time,type
297750963,254645,reply
1414976404899385358,181556,reply
1254753484303331329,171148,reply
1477879658922135553,169942,reply
1591957821775613952,167509,reply
2171464710,163218,reply
1699930746,159619,reply
1483949901557997577,155733,reply
1350982093795446787,153828,reply
1162597022207303680,147301,reply
90537259,146074,reply
1210752320662720517,144722,reply
1122806743078039552,142136,reply
1282718008440487938,140770,reply
1610900024124227584,139853,reply
4908334634,137900,reply
1550670003757793280,133758,reply
1285314549319716865,133007,reply
3238307098,126301,reply
1574942054114902016,126219,reply
1582943097373220864,126122,reply
439703882,121983,reply
1371952675093352459,120978,reply
1475160319471280129,120666,reply
985608727595290624,119583,reply
809880562571743232,119560,reply
70002555,116290,reply
2710233133,112734,reply
1495866809714626577,109691,reply
896489791583387648,109152,reply
1539254498895572995,106562,reply
1113907028366438400,106308,reply
1460843061970362370,105840,reply
978236358,105501,reply
1448188190762885124,105377,reply
1494998676929921026,105104,reply
1380264106318561286,105049,reply
1270647314999382018,104703,reply
1589414755030241283,103070,reply
1023215850667614209,102379,reply
1587212684356984834,101841,reply
388292652,101391,reply
1455517239013163011,101139,reply
1030121127476187136,100908,reply
1220281998087991296,100832,reply
1513231727703035913,100719,reply
2912110027,100585,reply
1046147141675241472,100548,reply
882615130307010560,100222,reply
1301488728070860802,100091,reply
1301488728070860802,100047,reply
3082031412,99920,reply
1043983048994410497,99345,reply
958125319239753729,99257,reply
1586420202446651392,98824,reply
1595292347188875269,98791,reply
1614580697607376896,98643,reply
323837090,98065,reply
780513944637173760,97957,reply
1247564595964907520,97486,reply
1549530578260619264,97120,reply
757879202842574848,96801,reply
1318989358440075268,96729,reply
1518059125896318977,96268,reply
1031635250428960768,94966,reply
1101207032139522048,94627,reply
160096620,94508,reply
1312645565973315587,94412,reply
1455640838990610434,94182,reply
1530559071820324865,93810,reply
1568611339064451072,93692,reply
1197297452296163331,93549,reply
187001231,92756,reply
363759653,92667,reply
1140878143181316096,92459,reply
1475391834989891585,92365,reply
1604339385281007616,92157,reply
147701607,92150,reply
1060307293428867072,91984,reply
1603082039204483076,91874,reply
904646990,91731,reply
473630824,91545,reply
912438452804714496,91471,reply
706225885167362048,91463,reply
1457014202422398981,90526,reply
1414319390,90139,reply
3269497706,90044,reply
1558781288277999616,90042,reply
2263309039,89645,reply
1511718997456470018,89404,reply
848511635279011840,89375,reply
20175687,89358,reply
287838109,89349,reply
805748078003290112,89195,reply
1088534671267430400,89034,reply
1542855586249060357,88834,reply
1255900526178217984,88749,reply
1468259768913563654,88729,reply
1502255123074101251,88681,reply
1202096790,88657,reply
1585037437700644892,88422,reply
33311051,88345,reply
1565769369841451012,88134,reply
1491363744001236996,87875,reply
1583641514256867330,87596,reply
1021265595222769664,87515,reply
1367899070556147716,87133,reply
