level_0,index,id,time,type,followers,usernames
0,9664,1543274074297737221,0,tweet,20064,YSLONIKA
1,9663,1551629559195652096,44,retweet,1512,Versace_Barbie
2,436,1303390492202274816,110,reply,163,iuninoy
3,8029,1563073386762252288,172,quote,248,barbieamala
4,435,1074054830434467842,190,reply,246,griffiminaj
6,8028,1463155160071356416,219,quote,104,UnamMatiwane
7,434,1011796909709774850,232,reply,2564,katrrinaaa
8,433,1569509629905993728,271,reply,241,_kapriisun
9,8027,459746246,296,quote,1032,ReyMinaj
10,432,2722776014,309,reply,455,nickismunch
12,430,1592703393058983936,329,reply,244,JakiyazzFantazy
14,9661,1184508107503915008,435,retweet,309,DavidxVasquez
16,428,1472922105834459137,469,reply,137,TRCalderone
18,427,2955178516,516,reply,1230,kswelty
19,426,1489752383391363073,529,reply,54,Cxhong1122
20,425,2258155987,544,reply,201,romanscurse
21,424,1249287950329839617,602,reply,139,bunifts
22,8025,1306597194561019910,656,quote,2159,Willsanchz29
23,423,2227363923,665,reply,2131,BKM412
25,9659,1410399999742124032,721,retweet,912,someone_152
26,421,1525486302019440642,767,reply,137,Kenny53884752
27,8024,983469058187300865,775,quote,81,Moonlight_bab18
28,420,1536004983883431936,797,reply,3506,goatryxn
29,9658,479287468,806,retweet,451,rules_ass
30,8023,2746769699,847,quote,251,nicanmoke
32,9657,1148314197668892672,906,retweet,6496,babygyalxxxx
33,9656,1039703340492484614,946,retweet,20,minajetrois0
34,419,1588190953684303873,948,reply,218,WoodsBrin
36,417,1470254915570188288,988,reply,1511,spillfactz
37,8021,1546322331341144065,993,quote,149,Joashminaj
39,8020,461257639,1036,quote,2813,christopherXCI_
40,416,986361295690764288,1190,reply,563,JordanMinaj_
41,9654,1302463366959697921,1211,retweet,235,noodlestweet
42,9653,1261446017880403968,1213,retweet,414,AjMinaj_
43,9652,1169685320402722817,1231,retweet,1399,PUSSlFIED
44,8019,1020372352222318593,1238,quote,550,LaNicklack
46,415,1267672470481494017,1254,reply,360,NestoLiMo
47,8017,754247993163939840,1292,quote,165,nickininjabear
48,9651,3098431476,1361,retweet,1539,onikakitten
50,8015,224354592,1556,quote,4128,Homiekage
52,414,1489768637061865472,1587,reply,303,SimT2005
54,8014,1046762732354240513,1598,quote,457,geraltsjaskier
57,9649,1331140697349648384,1703,retweet,100,beynickislut
58,8013,957086439514177536,1722,quote,3195,sicotropi
59,9648,1357341829268578304,1728,retweet,139,julius_rola
60,9647,50518706,1789,retweet,2650,bxtchesnblunts_
62,9646,1022944129494528006,1900,retweet,724,nickinpotions
63,8012,916280045102092289,1903,quote,291,jmcarats
65,408,1292559700651843586,1997,reply,1117,xandreeel
66,8011,1185042795482025984,2073,quote,1814,MiamiMangoBrand
67,8010,1560544199136743426,2128,quote,82,itsbigp_
70,8008,782877231005720576,2254,quote,1355,boywonder_xxx
71,407,1266420528795058177,2272,reply,75,QYuntal
72,9644,1612030079546322950,2278,retweet,70,kenn_rany
73,406,1034258427340443648,2353,reply,137,sun_bumm
74,9643,1421482116664156162,2364,retweet,228,NMDC162
75,8007,555456947,2396,quote,423,slayquis
76,405,4133966008,2513,reply,4015,NM_Trends
77,8006,1253955048649879552,2563,quote,540,gukormairukasus
79,8004,1586364988058320896,2637,quote,,
81,404,1131228900443467776,2656,reply,111,alphonse_bishop
82,9642,2606149315,2658,retweet,867,yassy_rodriguez
83,8002,1226195797307535361,2704,quote,568,MeckiMinaj
84,8001,92891897,2729,quote,4458,Smallorchids
85,8000,945619624833327104,2762,quote,547,discomiley
86,403,1561004555319525383,2766,reply,274,MartnPuebla4
88,7999,2852364391,2893,quote,119,JackieKJacks
89,7998,1425678233723449345,3008,quote,1514,thrillerbb
