Source,Target,T1610105053498449920,T1606110907838316544,T1604653731873800194,T1604179897274011652,T1597648648531505152
eassybuckets,jalenbrunson1,2,2,2,2,2
aamenoff,jalenbrunson1,2,2,2,2,2
sevenncostanza,jalenbrunson1,2,2,2,2,2
tottisharp,jalenbrunson1,2,2,2,2,2
LethalPasquale,jalenbrunson1,2,2,2,2,2
AnthonyMessias3,jalenbrunson1,2,2,2,2,2
3randyn,jalenbrunson1,2,2,2,2,2
EatingWs8,jalenbrunson1,2,2,2,2,2
LdEsq58,jalenbrunson1,2,2,2,2,2
eddiemac3356,jalenbrunson1,2,2,2,2,2
GD77_4,jalenbrunson1,2,2,2,2,2
Farret13Tejeda,jalenbrunson1,2,2,2,2,2
oldham_grant,jalenbrunson1,2,2,2,2,2
AlexLeeSays,jalenbrunson1,2,2,1,1,1
JeDiGoLLuM01,jalenbrunson1,1,1,1,2,1
theremorse9,jalenbrunson1,1,1,1,2,1
MACHO1223,jalenbrunson1,1,1,1,2,1
SHoopsYTReal,jalenbrunson1,1,1,2,1,1
Urcringe3,jalenbrunson1,2,1,1,1,1
nyserley,jalenbrunson1,1,1,2,1,1
kletoro,jalenbrunson1,2,1,1,1,1
wesy_b,jalenbrunson1,2,2,2,2,2
mell0248,jalenbrunson1,1,2,1,1,1
Lar_Foti,jalenbrunson1,2,2,2,2,2
ShuaibA12,jalenbrunson1,2,2,2,2,2
KanyeParr,jalenbrunson1,1,1,1,2,1
UsisJoan,jalenbrunson1,1,1,1,1,2
LVXPOSA,jalenbrunson1,1,1,2,1,1
BXGP228,jalenbrunson1,1,1,1,2,1
ChadDauphin,jalenbrunson1,1,1,1,1,2
UncleLace,jalenbrunson1,2,1,1,1,1
wonderprodyt,jalenbrunson1,1,2,1,2,1
JasonDemeter92,jalenbrunson1,1,2,1,2,1
Real_Mook,jalenbrunson1,2,2,2,2,2
Twins_DNA,jalenbrunson1,1,1,1,2,1
n0orum,jalenbrunson1,2,2,1,1,1
KarlRoyy,jalenbrunson1,1,2,1,1,1
Originator0,jalenbrunson1,1,2,1,1,1
JHoffman316,jalenbrunson1,1,1,1,1,2
knicktopia,jalenbrunson1,2,2,2,2,2
lizbe51117408,jalenbrunson1,2,1,1,1,1
Lonraydinho,jalenbrunson1,1,1,1,2,1
xDrexSznx,jalenbrunson1,2,1,1,1,1
cboesib,jalenbrunson1,2,1,1,1,1
nyknicks,jalenbrunson1,2,2,2,2,2
BooRadley1219,jalenbrunson1,1,2,1,1,1
Michael52005,jalenbrunson1,1,1,1,2,1
Amrmets15,jalenbrunson1,1,2,1,2,1
KNYT_Hoops,jalenbrunson1,2,2,2,2,1
ij_andretti,jalenbrunson1,1,1,1,2,1
kentpharious,jalenbrunson1,1,1,1,2,1
brassnevich1910,jalenbrunson1,1,1,2,1,1
tricksharden13,jalenbrunson1,2,1,1,1,1
RIPOPSMOKE,jalenbrunson1,1,1,1,2,1
bsanch929,jalenbrunson1,1,1,1,2,1
bmorelikestate,jalenbrunson1,1,1,1,2,1
