Source,Target,t1612576063296622614,t1612576063296622614_time,t1612509545192120320,t1612509545192120320_time,t1612503789772148748,t1612503789772148748_time,t1612276811546742784,t1612276811546742784_time,t1612273411082031108,t1612273411082031108_time,t1612269254149312512,t1612269254149312512_time,t1612263492634943491,t1612263492634943491_time
bdortizzz,dallasmavs,2,2580,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
Jaredadams07,dallasmavs,1,-1,1,-1,1,-1,2,7856,1,-1,1,-1,1,-1
FlukaTime,dallasmavs,1,-1,1,-1,1,-1,2,144,2,358,2,112,1,-1
saynepsycho,dallasmavs,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,2,76
BobbyRockets29,dallasmavs,2,2764,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
SuperMario79_,dallasmavs,2,781,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
newlyalex,dallasmavs,2,130,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
Therejohn,dallasmavs,2,3345,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
Joshnida55,dallasmavs,2,711,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
sk0786111,dallasmavs,1,-1,2,1508,1,-1,1,-1,1,-1,1,-1,1,-1
hncardbreaks,dallasmavs,2,562,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
SEGADiop14,dallasmavs,1,-1,2,606,1,-1,1,-1,1,-1,1,-1,1,-1
luka_maxi77,dallasmavs,2,1256,2,17115,1,-1,1,-1,1,-1,1,-1,1,-1
jojo_2377,dallasmavs,2,311,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
mjc1232,dallasmavs,2,286,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
Renee2theT,dallasmavs,2,3018,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
quintonotey,dallasmavs,2,776,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
CupcakeManny,dallasmavs,2,15128,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
polak_radim96,dallasmavs,1,-1,1,-1,1,-1,2,1533,1,-1,1,-1,1,-1
FaziFazbourne,dallasmavs,2,2077,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
Ray_martinez55,dallasmavs,2,612,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
m34780466,dallasmavs,1,-1,1,-1,1,-1,2,1346,1,-1,1,-1,1,-1
keaton32reeves,dallasmavs,2,1183,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
jillnachtigal,dallasmavs,2,1426,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
RealColSanders,dallasmavs,2,492,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
RowInDatBoat,dallasmavs,2,12252,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
Fvmj109,dallasmavs,1,-1,2,515,1,-1,1,-1,1,-1,1,-1,1,-1
castro0004,dallasmavs,2,7073,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
carolineg_6,dallasmavs,2,5276,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
alvarosas32,dallasmavs,1,-1,1,-1,2,1984,1,-1,1,-1,1,-1,1,-1
alejandro_121_,dallasmavs,2,1315,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
StevenBocanegra,dallasmavs,2,6773,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
YassINszn,dallasmavs,1,-1,1,-1,1,-1,2,17558,1,-1,1,-1,1,-1
fabiocr17,dallasmavs,1,-1,1,-1,1,-1,2,655,1,-1,1,-1,1,-1
MacrioPaulo1,dallasmavs,1,-1,1,-1,1,-1,2,2702,1,-1,1,-1,1,-1
VernonChittum,dallasmavs,2,618,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
whatersername,dallasmavs,2,783,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
rickyMFmejia,dallasmavs,2,5322,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
DQKloveMavs,dallasmavs,1,-1,1,-1,1,-1,2,80142,1,-1,1,-1,1,-1
dito_emily,dallasmavs,2,665,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
seagercth,dallasmavs,2,4130,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
paulwinze,dallasmavs,1,-1,1,-1,1,-1,1,-1,2,288,1,-1,1,-1
TheChrisStuckey,dallasmavs,2,8767,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
HukaDoncic,dallasmavs,1,-1,1,-1,1,-1,1,-1,1,-1,2,792,1,-1
useurheart,dallasmavs,1,-1,1,-1,1,-1,1,-1,1,-1,2,67743,1,-1
sethdowdle,dallasmavs,2,1384,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
dweeler,dallasmavs,1,-1,1,-1,2,2939,1,-1,1,-1,1,-1,1,-1
jangelgomez93,dallasmavs,2,456,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
Antonio25Araujo,dallasmavs,2,7380,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
kevnpurp,dallasmavs,2,6485,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
maybe_reformed,dallasmavs,1,-1,1,-1,1,-1,2,67,1,-1,1,-1,1,-1
cristian_lomas5,dallasmavs,2,93,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
andrea_matta10,dallasmavs,2,94,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
DallasMaverips,dallasmavs,2,8642,2,24501,1,-1,1,-1,1,-1,1,-1,1,-1
RamirezCoach,dallasmavs,2,422,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
JORGEREYESS2369,dallasmavs,1,-1,1,-1,2,6215,1,-1,1,-1,1,-1,1,-1
